,City,Suburb,Sales 3Q 2020,Median 3Q 2020,Sales 3Q 2021,Median 3Q 2021,Median Change,Index,Country,Sales Change
241,ONKAPARINGA,IRONBANK,1.0,937000.0,,,,241,USA,
242,ONKAPARINGA,KANGARILLA,,,,,,242,USA,
243,ONKAPARINGA,LONSDALE,,,,,,243,USA,
244,ONKAPARINGA,MASLIN BEACH,5.0,520000.0,6.0,570000.0,0.09615384615384616,244,USA,1.0
245,ONKAPARINGA,MCLAREN FLAT,4.0,490000.0,2.0,819000.0,0.6714285714285714,245,USA,-2.0
246,ONKAPARINGA,MCLAREN VALE,9.0,535000.0,12.0,565000.0,0.056074766355140186,246,USA,3.0
247,ONKAPARINGA,MOANA,8.0,408000.0,16.0,562500.0,0.3786764705882353,247,USA,8.0
248,ONKAPARINGA,MORPHETT VALE,70.0,325000.0,89.0,400000.0,0.23076923076923078,248,USA,19.0
249,ONKAPARINGA,NOARLUNGA CENTRE,,,1.0,405000.0,,249,USA,
250,ONKAPARINGA,NOARLUNGA DOWNS,14.0,320000.0,21.0,440000.0,0.375,250,USA,7.0
251,ONKAPARINGA,O'HALLORAN HILL,6.0,411000.0,9.0,485000.0,0.18004866180048662,251,USA,3.0
252,ONKAPARINGA,OLD NOARLUNGA,3.0,290000.0,7.0,430000.0,0.4827586206896552,252,USA,4.0
253,ONKAPARINGA,OLD REYNELLA,5.0,405000.0,9.0,449000.0,0.10864197530864197,253,USA,4.0
254,ONKAPARINGA,ONKAPARINGA HILLS,5.0,555000.0,7.0,515000.0,-0.07207207207207207,254,USA,2.0
255,ONKAPARINGA,O'SULLIVAN BEACH,9.0,307500.0,10.0,415000.0,0.34959349593495936,255,USA,1.0
256,ONKAPARINGA,PORT NOARLUNGA,9.0,466500.0,18.0,531500.0,0.13933547695605572,256,USA,9.0
257,ONKAPARINGA,PORT NOARLUNGA SOUTH,8.0,530000.0,9.0,570000.0,0.07547169811320754,257,USA,1.0
258,ONKAPARINGA,PORT WILLUNGA,6.0,423000.0,8.0,610000.0,0.44208037825059104,258,USA,2.0
